Reference, Value, Footprint, Datasheet, 2nd Source Part Number, 1st Source Part Number, Manufacturer Part Number, 1st Source, 2nd Source, Manufacturer
"J1","AMPSEAL_8_POS_776275-1","usevolt:AMPSEAL_8_POS_776275-1","http://www.mouser.com/ds/2/418/NG_CD_776275_B7-692111.pdf","571-1-776275-1 ","571-776275-1 ","776275-1","Mouser","Mouser","TE Connectivity",""
"C1","100nF","kemet:0603","",""
"C6","100nF","kemet:0603","",""
"L1","INDUCTOR_SDR1005-101KL","usevolt:INDUCTOR_BOURNS_10X13X5MM","http://www.farnell.com/datasheets/1695384.pdf?_ga=1.223340891.1948984246.1460023966","SDR1005-101KLCT-ND","1828057","SDR1005-101KL","Farnell","Digi-Key","BOURNS",""
"C10","100nF","kemet:0603","",""
"R2","470R","multicomp:0603","","","9331239","MC0063W06031470R","Farnell","","MULTICOMP",""
"D4","WL-SMCW-150060BS75000-B","wurth_LEDS:0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","2322069","150060BS75000","Farnell","","WURTH ELEKTRONIK",""
"C3","100nF","kemet:0603","",""
"C8","100nF","kemet:0603","",""
"C7","100nF","kemet:0603","",""
"C4","18pF","kemet:0603","",""
"C5","18pF","kemet:0603","",""
"R1","470R","multicomp:0603","","","9331239","MC0063W06031470R","Farnell","","MULTICOMP",""
"D2","WL-SMCW-150060BS75000-B","wurth_LEDS:0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","2322069","150060BS75000","Farnell","","WURTH ELEKTRONIK",""
"R6","10K","multicomp:0603","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","9330399","MC0063W0603110K","Farnell","","MULTICOMP",""
"R7","10K","multicomp:0603","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","9330399","MC0063W0603110K","Farnell","","MULTICOMP",""
"R8","10K","multicomp:0603","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","9330399","MC0063W0603110K","Farnell","","MULTICOMP",""
"R3","20K","multicomp:0603","","","9330771","MC0063W0603120K","Farnell","","MULTICOMP",""
"R4","20K","multicomp:0603","","","9330771","MC0063W0603120K","Farnell","","MULTICOMP",""
"R5","20K","multicomp:0603","","","9330771","MC0063W0603120K","Farnell","","MULTICOMP",""
"D1","DIODE_TVS_SMBJ33A-TRDO-214AA","usevolt:DO-214AA","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf","","SMBJ33ALFCT-ND","SMBJ33A","Digi-Key","","Littlefuse",""
"C2","CAP_EEE-FK1H470P","usevolt:CAP_EEE-FK1H470P","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1H470P+7+WW","667-EEE-FK1H470P","PCE3815CT-ND","EEE-FK1H470P","Digi-Key","Mouser","Panasonic Electronic Components",""
"VR1","LM2671SOIC8","usevolt:SOIC8","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.246738500.1948984246.1460023966","926-LM2671M-5.0/NOPB","1469200","LM2671M-5.0/NOPB","Farnell","Mouser","TEXAS INSTRUMENTS",""
"D3","DIODE_LM2671","usevolt:DO219AB","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.260423885.1948984246.1460023966","2395920","LM2671MX-5.0/NOPBCT-ND","LM2671MX-5.0/NOPB","Digi-Key","Farnell","TEXAS INSTRUMENTS ",""
"C9","CAP_EEE-FK1H470P","usevolt:CAP_EEE-FK1H470P","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1H470P+7+WW","667-EEE-FK1H470P","PCE3815CT-ND","EEE-FK1H470P","Digi-Key","Mouser","Panasonic Electronic Components",""
"VR2","REG_MCP1700","usevolt:SOT-23_3-PIN","http://www.farnell.com/datasheets/1784514.pdf?_ga=1.221693144.1948984246.1460023966","MCP1700T3302ETTCT-ND","1296592","MCP1700T-3302E/TT","Farnell","Digi-Key","MICROCHIP",""
"U1","MCP2551_SOIC8","usevolt:SOIC8","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011797","9758569","MCP2551-I/SN-ND","MCP2551-I/SN","Digi-Key","Farnell","MICROCHIP",""
"X1","XTAL_7A-20.000MAAJ-T","usevolt:XTAL_7A-20.000MAJ","http://www.farnell.com/datasheets/1041607.pdf?_ga=1.225290842.1948984246.1460023966","","1841950","7A-20.000MAAJ-T","Farnell","","TXC",""
"D5","DIODE_LM2671","usevolt:DO219AB","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.260423885.1948984246.1460023966","2395920","LM2671MX-5.0/NOPBCT-ND","LM2671MX-5.0/NOPB","Digi-Key","Farnell","TEXAS INSTRUMENTS ",""
"D6","DIODE_LM2671","usevolt:DO219AB","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.260423885.1948984246.1460023966","2395920","LM2671MX-5.0/NOPBCT-ND","LM2671MX-5.0/NOPB","Digi-Key","Farnell","TEXAS INSTRUMENTS ",""
"D7","DIODE_LM2671","usevolt:DO219AB","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.260423885.1948984246.1460023966","2395920","LM2671MX-5.0/NOPBCT-ND","LM2671MX-5.0/NOPB","Digi-Key","Farnell","TEXAS INSTRUMENTS ",""
"J2","MOLEX_MICRO-FIT_10WAY_SMD","usevolt:MOLEX_MICRO-FIT_10WAY_V","",""
"SW8","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW9","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW10","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW11","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW12","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW13","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW14","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW7","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW6","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"U2","LPC11C14_QFP48","usevolt:QFP48","http://www.nxp.com/documents/user_manual/UM10398.pdf","771-LPC11C14FD48301","568-5098-ND","LPC11C14FBD48/301","Digi-Key","Mouser","NXP",""
"SW1","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW2","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW3","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW4","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"SW5","SWITCH_B3W-4050","usevolt:SWITCH_B3W-4050","http://www.omron.com/ecb/products/pdf/en-b3w.pdf","176989","SW422-ND","B3W-4050","Digi-Key","Farnell","Omron Electronics Inc-EMC Div",""
"F1","FUSE_MC36211_350MA","usevolt:FUSE_MC36211","http://www.farnell.com/datasheets/1678471.pdf?_ga=1.218604761.1948984246.1460023966","","MC36211","MC36211","Farnell","","Multicomp",""
"J3","HEADER_USART_2_TH","usevolt:HEADER_USART_2_TH","",""
